INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2025-06-06T11:00:00-00:00,2025-06-06T12:00:00-00:00,2025-06-06,5,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCL,LMP_LOSS_PRC,0096WD_7_N001,ALL,1,-0.46334,4
2025-06-07T05:00:00-00:00,2025-06-07T06:00:00-00:00,2025-06-06,23,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCL,LMP_LOSS_PRC,0096WD_7_N001,ALL,1,-0.46943,4
2025-06-07T04:00:00-00:00,2025-06-07T05:00:00-00:00,2025-06-06,22,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCL,LMP_LOSS_PRC,0096WD_7_N001,ALL,1,-0.75549,4
2025-06-07T03:00:00-00:00,2025-06-07T04:00:00-00:00,2025-06-06,21,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCL,LMP_LOSS_PRC,0096WD_7_N001,ALL,1,-0.81176,4
2025-06-06T13:00:00-00:00,2025-06-06T14:00:00-00:00,2025-06-06,7,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCL,LMP_LOSS_PRC,0096WD_7_N001,ALL,1,-0.78023,4
2025-06-06T21:00:00-00:00,2025-06-06T22:00:00-00:00,2025-06-06,15,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MGHG,LMP_GHG_PRC,0096WD_7_N001,ALL,1,0,5
2025-06-06T18:00:00-00:00,2025-06-06T19:00:00-00:00,2025-06-06,12,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MGHG,LMP_GHG_PRC,0096WD_7_N001,ALL,1,0,5
2025-06-06T16:00:00-00:00,2025-06-06T17:00:00-00:00,2025-06-06,10,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MGHG,LMP_GHG_PRC,0096WD_7_N001,ALL,1,0,5
2025-06-06T22:00:00-00:00,2025-06-06T23:00:00-00:00,2025-06-06,16,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MGHG,LMP_GHG_PRC,0096WD_7_N001,ALL,1,0,5
2025-06-07T01:00:00-00:00,2025-06-07T02:00:00-00:00,2025-06-06,19,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MGHG,LMP_GHG_PRC,0096WD_7_N001,ALL,1,0,5
2025-06-07T02:00:00-00:00,2025-06-07T03:00:00-00:00,2025-06-06,20,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MGHG,LMP_GHG_PRC,0096WD_7_N001,ALL,1,0,5
2025-06-06T11:00:00-00:00,2025-06-06T12:00:00-00:00,2025-06-06,5,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MGHG,LMP_GHG_PRC,0096WD_7_N001,ALL,1,0,5
2025-06-06T20:00:00-00:00,2025-06-06T21:00:00-00:00,2025-06-06,14,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MGHG,LMP_GHG_PRC,0096WD_7_N001,ALL,1,0,5
2025-06-06T23:00:00-00:00,2025-06-07T00:00:00-00:00,2025-06-06,17,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MGHG,LMP_GHG_PRC,0096WD_7_N001,ALL,1,0,5
2025-06-07T06:00:00-00:00,2025-06-07T07:00:00-00:00,2025-06-06,24,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MGHG,LMP_GHG_PRC,0096WD_7_N001,ALL,1,0,5
2025-06-06T09:00:00-00:00,2025-06-06T10:00:00-00:00,2025-06-06,3,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MGHG,LMP_GHG_PRC,0096WD_7_N001,ALL,1,0,5
2025-06-06T13:00:00-00:00,2025-06-06T14:00:00-00:00,2025-06-06,7,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MGHG,LMP_GHG_PRC,0096WD_7_N001,ALL,1,0,5
2025-06-06T19:00:00-00:00,2025-06-06T20:00:00-00:00,2025-06-06,13,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MGHG,LMP_GHG_PRC,0096WD_7_N001,ALL,1,0,5
2025-06-06T14:00:00-00:00,2025-06-06T15:00:00-00:00,2025-06-06,8,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MGHG,LMP_GHG_PRC,0096WD_7_N001,ALL,1,0,5
2025-06-07T04:00:00-00:00,2025-06-07T05:00:00-00:00,2025-06-06,22,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MGHG,LMP_GHG_PRC,0096WD_7_N001,ALL,1,0,5
